Date,Index_name,Close,Volume,Daily_Return_,Volatility
2019-07-12,NIFTY BANK,30601.09,0,-0.61,1.01
2019-07-15,NIFTY BANK,30445.6,0,-0.79,1.15
2019-07-16,NIFTY BANK,30570.45,0,0.12,0.66
2019-07-17,NIFTY BANK,30735.14,0,0.37,0.75
2019-07-18,NIFTY BANK,30430.25,0,-0.90,1.27
2019-07-19,NIFTY BANK,29770.0,0,-2.44,2.73
2019-07-22,NIFTY BANK,29284.61,339800,-1.12,1.49
2019-07-23,NIFTY BANK,29127.76,0,-0.73,0.97
2019-07-24,NIFTY BANK,28951.91,0,-0.46,1.3
2019-07-25,NIFTY BANK,29042.71,0,0.21,1.07
2019-07-26,NIFTY BANK,29324.96,0,0.90,1.3
2019-07-29,NIFTY BANK,29295.56,0,-0.97,1.61
2019-07-30,NIFTY BANK,28791.27,0,-2.19,2.68
2019-07-31,NIFTY BANK,28875.66,0,1.05,1.53
2019-08-01,NIFTY BANK,28366.92,0,-1.02,2.69
2019-08-02,NIFTY BANK,28204.62,310300,-0.07,2.14
2019-08-05,NIFTY BANK,27647.73,0,-0.69,1.71
2019-08-06,NIFTY BANK,28021.77,0,1.83,2.29
2019-08-07,NIFTY BANK,27701.73,0,-1.25,1.9
2019-08-08,NIFTY BANK,28110.12,0,0.97,2.49
2019-08-09,NIFTY BANK,28431.57,0,0.49,1.23
2019-08-13,NIFTY BANK,27728.78,0,-2.21,2.38
2019-08-14,NIFTY BANK,28018.87,0,0.48,1.35
2019-08-16,NIFTY BANK,28216.67,0,1.06,1.9
2019-08-19,NIFTY BANK,28185.77,0,-0.51,1.14
2019-08-20,NIFTY BANK,27982.12,0,-0.17,0.62
2019-08-21,NIFTY BANK,27718.73,0,-1.08,1.54
2019-08-22,NIFTY BANK,27033.88,0,-2.37,2.58
2019-08-23,NIFTY BANK,26958.34,0,0.46,2.41
2019-08-26,NIFTY BANK,27951.03,0,1.04,4.11
2019-08-27,NIFTY BANK,28125.82,0,0.07,1.13
2019-08-28,NIFTY BANK,27803.98,0,-0.98,1.64
2019-08-29,NIFTY BANK,27304.88,0,-1.41,1.73
2019-08-30,NIFTY BANK,27427.53,0,0.07,1.69
2019-09-03,NIFTY BANK,26823.84,0,-1.52,1.85
2019-09-04,NIFTY BANK,27123.54,0,1.26,2.38
2019-09-05,NIFTY BANK,26919.39,0,-0.62,1.58
2019-09-06,NIFTY BANK,27247.58,0,0.97,1.34
2019-09-09,NIFTY BANK,27504.33,0,0.97,2.1
2019-09-11,NIFTY BANK,27775.88,0,0.50,1.01
2019-09-12,NIFTY BANK,27818.18,0,-0.19,1.07
2019-09-13,NIFTY BANK,28098.42,0,1.18,1.99
2019-09-16,NIFTY BANK,27854.68,0,-0.05,0.96
2019-09-17,NIFTY BANK,27131.44,0,-2.28,2.89
2019-09-18,NIFTY BANK,27172.33,0,-0.48,1.19
2019-09-19,NIFTY BANK,26757.34,0,-1.54,1.96
2019-09-20,NIFTY BANK,28981.21,0,7.82,10.01
2019-09-23,NIFTY BANK,30565.84,0,1.75,3.41
2019-09-24,NIFTY BANK,30182.75,0,-0.82,2.56
2019-09-25,NIFTY BANK,29585.71,0,-1.48,1.99
2019-09-26,NIFTY BANK,30002.25,0,1.22,3.68
2019-09-27,NIFTY BANK,29876.3,0,-0.33,1.34
2019-09-30,NIFTY BANK,29102.81,0,-1.93,2.73
2019-10-01,NIFTY BANK,28725.17,1187300,-1.71,4.96
2019-10-03,NIFTY BANK,28413.77,0,-0.67,1.85
2019-10-04,NIFTY BANK,27731.53,0,-3.31,3.75
2019-10-07,NIFTY BANK,27767.23,0,-0.51,2.21
2019-10-09,NIFTY BANK,28785.52,0,3.17,4.14
2019-10-10,NIFTY BANK,28013.12,0,-1.86,2.24
2019-10-11,NIFTY BANK,28042.17,0,-0.72,3.07
2019-10-14,NIFTY BANK,28181.62,0,-0.20,1.81
2019-10-15,NIFTY BANK,28554.77,0,1.05,1.8
2019-10-16,NIFTY BANK,28538.47,0,-0.53,1.58
2019-10-17,NIFTY BANK,28989.11,0,1.37,1.96
2019-10-18,NIFTY BANK,29119.91,0,0.57,1.33
2019-10-22,NIFTY BANK,29410.81,0,-0.02,1.56
2019-10-23,NIFTY BANK,29459.26,0,-0.07,1.46
2019-10-24,NIFTY BANK,29107.61,0,-1.68,2.36
2019-10-25,NIFTY BANK,29395.61,0,0.57,1.81
2019-10-29,NIFTY BANK,29872.7,0,1.17,2.07
2019-10-30,NIFTY BANK,29987.15,0,-0.06,1.33
2019-10-31,NIFTY BANK,30065.9,0,-0.34,1.42
2019-11-01,NIFTY BANK,30330.2,0,0.45,1.26
2019-11-04,NIFTY BANK,30332.75,0,-0.27,1.25
2019-11-05,NIFTY BANK,30219.5,0,-0.60,1.19
2019-11-06,NIFTY BANK,30609.24,0,1.27,2.27
2019-11-07,NIFTY BANK,30632.79,364800,-0.29,1.17
2019-11-08,NIFTY BANK,30749.04,0,0.58,1.98
2019-11-11,NIFTY BANK,31115.19,0,1.47,1.89
2019-11-13,NIFTY BANK,30541.2,0,-1.75,2.29
2019-11-14,NIFTY BANK,30749.59,0,0.44,1.47
2019-11-15,NIFTY BANK,31008.04,0,0.31,0.99
2019-11-18,NIFTY BANK,30991.74,0,-0.14,0.97
2019-11-19,NIFTY BANK,31235.89,0,0.62,1.04
2019-11-20,NIFTY BANK,31353.48,0,0.20,0.85
2019-11-21,NIFTY BANK,31349.58,0,-0.20,0.7
2019-11-22,NIFTY BANK,31111.24,0,-0.89,1.08
2019-11-25,NIFTY BANK,31555.53,0,1.58,1.74
2019-11-26,NIFTY BANK,31717.98,0,0.08,1.21
2019-11-27,NIFTY BANK,31875.58,0,0.14,0.57
2019-11-28,NIFTY BANK,32122.58,498300,0.44,0.79
2019-11-29,NIFTY BANK,31945.73,0,-0.40,0.99
2019-12-02,NIFTY BANK,31871.08,0,-0.43,0.95
2019-12-03,NIFTY BANK,31612.98,0,-0.96,1.36
2019-12-04,NIFTY BANK,31978.93,516800,1.36,1.82
2019-12-05,NIFTY BANK,31712.58,393300,-1.16,1.55
2019-12-06,NIFTY BANK,31341.19,485400,-1.43,1.99
2019-12-09,NIFTY BANK,31316.29,494500,-0.02,1.33
2019-12-10,NIFTY BANK,31159.99,505400,-0.72,0.91
2019-12-11,NIFTY BANK,31256.39,815400,0.34,1.1
2019-12-12,NIFTY BANK,31665.08,529700,0.98,1.15
2019-12-13,NIFTY BANK,32013.88,390500,0.75,1.05
2019-12-16,NIFTY BANK,31973.83,306000,-0.57,0.9
2019-12-17,NIFTY BANK,32139.88,259900,0.18,0.7
2019-12-18,NIFTY BANK,32243.88,258800,-0.15,0.86
2019-12-19,NIFTY BANK,32241.07,436900,-0.12,0.75
2019-12-20,NIFTY BANK,32384.57,535200,0.37,0.76
2019-12-23,NIFTY BANK,32339.07,391500,-0.13,0.94
2019-12-24,NIFTY BANK,32280.38,330800,-0.18,0.45
2019-12-26,NIFTY BANK,31997.33,339800,-0.86,1.09
2019-12-27,NIFTY BANK,32411.97,332400,0.84,1.21
2019-12-30,NIFTY BANK,32354.52,0,-0.41,1.12
2019-12-31,NIFTY BANK,32161.28,251400,-0.57,0.73
2020-01-02,NIFTY BANK,32443.47,253600,0.97,1.07
2020-01-03,NIFTY BANK,32068.88,217600,-0.80,1.14
2020-01-06,NIFTY BANK,31236.79,256200,-2.11,2.33
2020-01-07,NIFTY BANK,31399.04,294400,-0.63,2.06
2020-01-08,NIFTY BANK,31373.29,304500,1.22,1.78
2020-01-09,NIFTY BANK,32092.03,308000,1.08,1.59
2020-01-10,NIFTY BANK,32097.03,444700,-0.37,1.22
2020-01-13,NIFTY BANK,32177.28,291400,0.12,0.77
2020-01-14,NIFTY BANK,32071.28,438900,-0.39,0.64
2020-01-15,NIFTY BANK,31824.53,545700,-0.53,1.03
2020-01-16,NIFTY BANK,31853.53,253700,0.14,0.93
2020-01-17,NIFTY BANK,31590.28,308100,0.06,1.04
2020-01-20,NIFTY BANK,31080.29,282200,-2.64,2.73
2020-01-21,NIFTY BANK,30947.19,227500,-0.10,1.01
2020-01-22,NIFTY BANK,30701.09,200600,-1.16,1.72
2020-01-23,NIFTY BANK,31003.69,343800,0.85,1.52
2020-01-24,NIFTY BANK,31241.39,424600,0.65,1.6
2020-01-27,NIFTY BANK,30837.04,309900,-0.88,1.35
2020-01-28,NIFTY BANK,30761.04,239600,-0.52,1.27
2020-01-29,NIFTY BANK,30876.64,268800,-0.12,0.8
2020-01-30,NIFTY BANK,30647.04,328900,-0.78,1.26
2020-01-31,NIFTY BANK,30833.24,333400,-0.38,1.1
2020-02-03,NIFTY BANK,30022.9,337100,0.71,1.65
2020-02-04,NIFTY BANK,30686.34,336600,1.49,1.97
2020-02-05,NIFTY BANK,31001.59,427600,0.78,1.41
2020-02-06,NIFTY BANK,31303.69,334000,0.75,1.78
2020-02-07,NIFTY BANK,31201.59,254400,-0.53,0.82
2020-02-10,NIFTY BANK,31057.79,239700,-0.61,0.93
2020-02-11,NIFTY BANK,31300.24,198900,0.23,0.9
2020-02-12,NIFTY BANK,31492.54,226000,0.16,0.61
2020-02-13,NIFTY BANK,31229.89,303000,-1.13,1.48
2020-02-14,NIFTY BANK,30834.44,341400,-1.43,2.11
2020-02-17,NIFTY BANK,30680.34,0,-0.63,1.19
2020-02-18,NIFTY BANK,30562.14,398900,-0.32,1.44
2020-02-19,NIFTY BANK,30837.84,268800,-0.22,1.1
2020-02-20,NIFTY BANK,30942.49,273100,0.26,1.24
2020-02-24,NIFTY BANK,30454.75,254200,-0.69,0.89
2020-02-25,NIFTY BANK,30432.35,215900,-0.28,0.92
2020-02-26,NIFTY BANK,30306.5,291000,0.09,1.27
2020-02-27,NIFTY BANK,30186.65,358000,-0.27,1.18
2020-02-28,NIFTY BANK,29146.81,386900,-1.20,1.74
2020-03-02,NIFTY BANK,28868.06,368300,-2.80,4.11
2020-03-03,NIFTY BANK,29176.71,367300,0.57,1.85
2020-03-04,NIFTY BANK,28653.37,425800,-2.05,3.93
2020-03-05,NIFTY BANK,28815.02,1075700,-0.05,2.08
2020-03-06,NIFTY BANK,27801.13,1568100,0.55,3.2
2020-03-09,NIFTY BANK,26462.29,1059000,-2.10,4.32
